sample_id,timestamp,accel_x,accel_y,accel_z,label
tilt_forward_53,440,1.697388,-0.105469,-0.378418,tilt forward
tilt_forward_53,460,0.984009,-0.134644,-0.643188,tilt forward
tilt_forward_53,480,0.698120,0.012329,-0.247437,tilt forward
tilt_forward_53,500,1.039795,0.031982,-0.147461,tilt forward
tilt_forward_53,520,1.240845,-0.074219,-0.071289,tilt forward
tilt_forward_53,540,1.050903,0.007324,-0.176025,tilt forward
tilt_forward_53,560,0.921875,0.032959,-0.321899,tilt forward
tilt_forward_53,580,0.885986,-0.025024,-0.302734,tilt forward
tilt_forward_53,600,0.998291,-0.030273,-0.322754,tilt forward
tilt_forward_53,620,1.007202,-0.029785,-0.330444,tilt forward
tilt_forward_53,640,0.948975,-0.045654,-0.351685,tilt forward
tilt_forward_53,660,0.943481,-0.047852,-0.316284,tilt forward
tilt_forward_53,680,0.974731,-0.072510,-0.278687,tilt forward
tilt_forward_53,700,0.912842,-0.036621,-0.317017,tilt forward
tilt_forward_53,720,0.892090,-0.027222,-0.335571,tilt forward
tilt_forward_53,740,0.912598,-0.036743,-0.321655,tilt forward
tilt_forward_53,760,0.960205,-0.048584,-0.300415,tilt forward
tilt_forward_53,780,0.949219,-0.060669,-0.299316,tilt forward
tilt_forward_53,800,0.916382,-0.034668,-0.336914,tilt forward
tilt_forward_53,820,0.906738,-0.045044,-0.337769,tilt forward
tilt_forward_53,840,0.927979,-0.033936,-0.337891,tilt forward
tilt_forward_53,860,0.937744,-0.072632,-0.337036,tilt forward
tilt_forward_53,880,0.973999,-0.049561,-0.337036,tilt forward
tilt_forward_53,900,0.967285,-0.043335,-0.342285,tilt forward
tilt_forward_53,920,0.916504,-0.038086,-0.353882,tilt forward
tilt_forward_53,940,0.926636,-0.039917,-0.335205,tilt forward
tilt_forward_53,960,0.960937,-0.029053,-0.338745,tilt forward
tilt_forward_53,980,0.936523,-0.055786,-0.364014,tilt forward
tilt_forward_54,0,-0.014404,-0.001831,0.998535,tilt forward
tilt_forward_54,20,-0.012817,-0.004395,1.000610,tilt forward
tilt_forward_54,40,-0.034180,-0.006592,0.992920,tilt forward
tilt_forward_54,60,-0.036987,-0.004517,0.989990,tilt forward
tilt_forward_54,80,-0.046997,0.005737,0.977539,tilt forward
tilt_forward_54,100,-0.000610,-0.005371,0.992065,tilt forward
tilt_forward_54,120,-0.024048,-0.002441,0.987183,tilt forward
tilt_forward_54,140,-0.029419,-0.003540,0.997192,tilt forward
tilt_forward_54,160,-0.034912,-0.006104,0.984985,tilt forward
tilt_forward_54,180,-0.018188,-0.004761,0.992798,tilt forward
tilt_forward_54,200,-0.041992,-0.000366,0.988403,tilt forward
tilt_forward_54,220,-0.043457,-0.003540,0.986084,tilt forward
tilt_forward_54,240,-0.043335,-0.006714,0.980713,tilt forward
tilt_forward_54,260,-0.077393,-0.016846,0.997681,tilt forward
tilt_forward_54,280,-0.221924,-0.011841,1.055786,tilt forward
tilt_forward_54,300,-0.627319,-0.023682,1.205200,tilt forward
tilt_forward_54,320,-0.476807,-0.005493,1.105835,tilt forward
tilt_forward_54,340,-0.246582,-0.049316,0.704834,tilt forward
tilt_forward_54,360,0.153320,0.148926,-0.230957,tilt forward
tilt_forward_54,380,0.800781,-0.002686,-0.776855,tilt forward
tilt_forward_54,400,1.458130,-0.238770,-0.487183,tilt forward
tilt_forward_54,420,1.882080,0.166016,-0.032715,tilt forward
tilt_forward_54,440,0.943237,0.361938,-0.371582,tilt forward
tilt_forward_54,460,0.999268,0.400146,-0.706909,tilt forward
tilt_forward_54,480,1.277100,0.186401,-0.214600,tilt forward
tilt_forward_54,500,1.036133,0.088623,-0.153442,tilt forward
tilt_forward_54,520,0.947266,0.109741,-0.374756,tilt forward
tilt_forward_54,540,1.012207,0.095581,-0.357422,tilt forward
tilt_forward_54,560,1.048218,0.100586,-0.384033,tilt forward
tilt_forward_54,580,0.909424,0.066040,-0.375488,tilt forward
tilt_forward_54,600,0.957642,0.007690,-0.343628,tilt forward
tilt_forward_54,620,0.974365,0.002441,-0.368774,tilt forward
tilt_forward_54,640,0.952759,0.020630,-0.345825,tilt forward
tilt_forward_54,660,1.033569,0.076538,-0.335571,tilt forward
tilt_forward_54,680,0.875488,0.060181,-0.360107,tilt forward
tilt_forward_54,700,0.896729,0.051270,-0.385254,tilt forward
tilt_forward_54,720,0.901733,0.028320,-0.318970,tilt forward
tilt_forward_54,740,0.925537,0.024780,-0.296509,tilt forward
tilt_forward_54,760,0.933350,0.038208,-0.325439,tilt forward
tilt_forward_54,780,0.898193,0.042847,-0.390137,tilt forward
tilt_forward_54,800,0.973633,0.046753,-0.368530,tilt forward
tilt_forward_54,820,0.923706,0.045410,-0.329224,tilt forward
tilt_forward_54,840,0.919678,0.057983,-0.344849,tilt forward
tilt_forward_54,860,0.927002,0.052612,-0.354980,tilt forward
tilt_forward_54,880,0.933472,0.043457,-0.364624,tilt forward
tilt_forward_54,900,0.948242,0.032593,-0.383179,tilt forward
tilt_forward_54,920,0.960327,0.032471,-0.357788,tilt forward
tilt_forward_54,940,0.923218,0.037720,-0.343628,tilt forward
tilt_forward_54,960,0.892212,0.038940,-0.363281,tilt forward
tilt_forward_54,980,0.907227,0.043457,-0.367310,tilt forward
tilt_forward_55,0,-0.125732,-0.002441,0.987427,tilt forward
tilt_forward_55,20,-0.098389,-0.006958,0.984985,tilt forward
tilt_forward_55,40,-0.116089,-0.006348,0.989746,tilt forward
tilt_forward_55,60,-0.117554,-0.004639,0.989746,tilt forward
tilt_forward_55,80,-0.092773,-0.002563,0.992432,tilt forward
tilt_forward_55,100,-0.115967,0.003418,0.997803,tilt forward
tilt_forward_55,120,-0.111328,-0.000366,0.996826,tilt forward
tilt_forward_55,140,-0.111206,-0.000854,0.992187,tilt forward
tilt_forward_55,160,-0.104980,0.000854,0.977905,tilt forward
tilt_forward_55,180,-0.071411,0.004272,0.983643,tilt forward
tilt_forward_55,200,-0.120605,0.002319,0.984863,tilt forward
tilt_forward_55,220,-0.128784,-0.000610,0.975708,tilt forward
tilt_forward_55,240,-0.189697,-0.012451,1.002075,tilt forward
tilt_forward_55,260,-0.380493,-0.005371,1.086670,tilt forward
tilt_forward_55,280,-0.822876,0.008423,1.130493,tilt forward
tilt_forward_55,300,-0.599854,0.031860,0.663452,tilt forward
tilt_forward_55,320,-0.000854,0.054932,-0.099731,tilt forward
tilt_forward_55,340,0.186768,0.219727,-0.457153,tilt forward
tilt_forward_55,360,1.605957,-0.019653,-0.279419,tilt forward
tilt_forward_55,380,2.417236,-0.110352,-0.118164,tilt forward
tilt_forward_55,400,1.383301,-0.217041,0.108643,tilt forward
tilt_forward_55,420,0.655518,0.253174,-0.151367,tilt forward
tilt_forward_55,440,1.077393,0.210449,-0.562500,tilt forward
tilt_forward_55,460,1.452393,0.101929,-0.332642,tilt forward
tilt_forward_55,480,1.163696,-0.028442,-0.032959,tilt forward
tilt_forward_55,500,0.891724,0.003174,-0.226440,tilt forward
tilt_forward_55,520,0.981689,0.013916,-0.415405,tilt forward
tilt_forward_55,540,0.956299,0.067871,-0.350830,tilt forward
tilt_forward_55,560,1.043579,0.040649,-0.230957,tilt forward
tilt_forward_55,580,1.000244,0.043091,-0.294678,tilt forward
tilt_forward_55,600,0.929199,0.028564,-0.308228,tilt forward
tilt_forward_55,620,0.918091,0.023682,-0.324097,tilt forward
tilt_forward_55,640,0.946045,0.014648,-0.288086,tilt forward
tilt_forward_55,660,0.998169,0.033936,-0.310913,tilt forward
tilt_forward_55,680,0.954590,0.031128,-0.322266,tilt forward
tilt_forward_55,700,0.921265,0.015625,-0.338745,tilt forward
tilt_forward_55,720,0.917236,0.012329,-0.322998,tilt forward
tilt_forward_55,740,0.966553,0.000977,-0.291382,tilt forward
tilt_forward_55,760,0.996094,0.015381,-0.339966,tilt forward
tilt_forward_55,780,0.916748,0.014282,-0.347412,tilt forward
tilt_forward_55,800,0.929565,0.010986,-0.319702,tilt forward
tilt_forward_55,820,0.926392,0.015747,-0.308228,tilt forward
tilt_forward_55,840,0.947510,0.019653,-0.343262,tilt forward
tilt_forward_55,860,0.950562,0.014771,-0.350952,tilt forward
tilt_forward_55,880,0.927002,0.009155,-0.321167,tilt forward
tilt_forward_55,900,0.944336,0.007202,-0.319336,tilt forward
tilt_forward_55,920,0.913818,0.010864,-0.340088,tilt forward
tilt_forward_55,940,0.930054,0.007202,-0.323120,tilt forward
tilt_forward_55,960,0.943237,0.009888,-0.316895,tilt forward
tilt_forward_55,980,0.938232,0.011475,-0.343872,tilt forward
tilt_forward_56,0,-0.119873,0.013306,0.973022,tilt forward
tilt_forward_56,20,-0.110229,0.008911,0.973511,tilt forward
tilt_forward_56,40,-0.096069,0.017700,0.964844,tilt forward
tilt_forward_56,60,-0.128662,0.018066,0.991455,tilt forward
tilt_forward_56,80,-0.060547,0.014526,0.994873,tilt forward
tilt_forward_56,100,-0.057861,0.018311,0.984375,tilt forward
tilt_forward_56,120,-0.087646,0.025879,0.979614,tilt forward
tilt_forward_56,140,-0.108398,0.044434,0.951660,tilt forward
tilt_forward_56,160,-0.052002,0.030762,0.988281,tilt forward
tilt_forward_56,180,-0.100464,0.000977,0.978516,tilt forward
tilt_forward_56,200,-0.116943,-0.003662,0.976196,tilt forward
tilt_forward_56,220,-0.701538,0.016357,1.067139,tilt forward
tilt_forward_56,240,-0.934570,-0.063110,0.938843,tilt forward
tilt_forward_56,260,-0.550293,-0.112305,0.286133,tilt forward
tilt_forward_56,280,0.805908,0.523071,-0.947876,tilt forward
tilt_forward_56,300,0.898682,0.251343,-0.842285,tilt forward
tilt_forward_56,320,1.912720,-0.145752,0.312378,tilt forward
tilt_forward_56,340,1.385132,-0.034912,-0.001831,tilt forward
tilt_forward_56,360,1.010864,0.241699,-0.600342,tilt forward
tilt_forward_56,380,1.010132,0.193726,-0.748657,tilt forward
tilt_forward_56,400,1.403442,0.082275,-0.148682,tilt forward
tilt_forward_56,420,1.077881,0.069458,-0.287598,tilt forward
tilt_forward_56,440,0.922974,0.111206,-0.453369,tilt forward
tilt_forward_56,460,0.963013,0.108765,-0.426147,tilt forward
tilt_forward_56,480,0.954590,0.080933,-0.345825,tilt forward
tilt_forward_56,500,1.033203,0.057617,-0.365112,tilt forward
tilt_forward_56,520,0.913330,0.073608,-0.474854,tilt forward
tilt_forward_56,540,0.876343,0.066528,-0.455933,tilt forward
tilt_forward_56,560,0.847900,0.042358,-0.406860,tilt forward
tilt_forward_56,580,0.870361,0.024536,-0.381470,tilt forward
tilt_forward_56,600,0.864990,0.019897,-0.392578,tilt forward
tilt_forward_56,620,0.875977,0.016968,-0.421021,tilt forward
tilt_forward_56,640,0.916260,0.023315,-0.439087,tilt forward
tilt_forward_56,660,0.921631,0.025757,-0.397949,tilt forward
tilt_forward_56,680,0.913452,0.033203,-0.433472,tilt forward
tilt_forward_56,700,0.892456,0.039551,-0.444580,tilt forward
tilt_forward_56,720,0.921021,0.034058,-0.420166,tilt forward
tilt_forward_56,740,0.904297,0.028076,-0.385864,tilt forward
tilt_forward_56,760,0.908081,0.026123,-0.420776,tilt forward
tilt_forward_56,780,0.915283,0.021484,-0.438721,tilt forward
tilt_forward_56,800,0.910400,0.015137,-0.405151,tilt forward
tilt_forward_56,820,0.898071,0.017090,-0.413940,tilt forward
tilt_forward_56,840,0.893311,0.011475,-0.439941,tilt forward
tilt_forward_56,860,0.897217,0.022339,-0.433350,tilt forward
tilt_forward_56,880,0.909424,0.019409,-0.419189,tilt forward
tilt_forward_56,900,0.877930,0.024780,-0.423218,tilt forward
tilt_forward_56,920,0.906494,0.016602,-0.409546,tilt forward
tilt_forward_56,940,0.914795,0.018311,-0.397705,tilt forward
tilt_forward_56,960,0.915039,0.024414,-0.429443,tilt forward
tilt_forward_56,980,0.888916,0.027954,-0.427124,tilt forward
tilt_forward_57,0,-0.097778,-0.046875,0.985962,tilt forward
tilt_forward_57,20,-0.118408,-0.042480,0.972534,tilt forward
tilt_forward_57,40,-0.086792,-0.053101,0.986450,tilt forward
tilt_forward_57,60,-0.089233,-0.057129,0.984619,tilt forward
tilt_forward_57,80,-0.109985,-0.051270,0.979980,tilt forward
tilt_forward_57,100,-0.093750,-0.059692,1.000366,tilt forward
tilt_forward_57,120,-0.143311,-0.044800,0.989624,tilt forward
tilt_forward_57,140,-0.041626,-0.043579,0.989014,tilt forward
tilt_forward_57,160,-0.067627,-0.049927,0.979126,tilt forward
tilt_forward_57,180,-0.076416,-0.052124,0.985962,tilt forward
tilt_forward_57,200,-0.100220,-0.041870,0.978516,tilt forward
tilt_forward_57,220,-0.129517,-0.042725,0.970215,tilt forward
tilt_forward_57,240,-0.138306,-0.053223,0.964722,tilt forward
tilt_forward_57,260,-0.103149,-0.058838,0.965454,tilt forward
tilt_forward_57,280,-0.245361,-0.057007,1.024902,tilt forward
tilt_forward_57,300,-0.531006,-0.021240,0.965210,tilt forward
tilt_forward_57,320,-0.756226,-0.009521,0.895752,tilt forward
tilt_forward_57,340,-0.199463,-0.019897,0.432739,tilt forward
tilt_forward_57,360,0.669312,-0.089966,0.000610,tilt forward
tilt_forward_57,380,0.706299,0.071167,-0.267334,tilt forward
tilt_forward_57,400,1.354980,-0.017456,-0.296997,tilt forward
tilt_forward_57,420,1.350098,-0.130615,-0.241821,tilt forward
tilt_forward_57,440,1.060303,-0.183716,-0.294434,tilt forward
tilt_forward_57,460,1.300903,0.011841,-0.575562,tilt forward
tilt_forward_57,480,1.345947,0.077148,-0.588379,tilt forward
tilt_forward_57,500,1.052246,0.028198,-0.301758,tilt forward
tilt_forward_57,520,0.995117,-0.023926,-0.334717,tilt forward
tilt_forward_57,540,0.949707,-0.052856,-0.389160,tilt forward
tilt_forward_57,560,1.011841,-0.038208,-0.434692,tilt forward
tilt_forward_57,580,1.013794,-0.022095,-0.425781,tilt forward
tilt_forward_57,600,1.014160,-0.034546,-0.434814,tilt forward
tilt_forward_57,620,0.854126,-0.061157,-0.462769,tilt forward
tilt_forward_57,640,0.861084,-0.075195,-0.484619,tilt forward
tilt_forward_57,660,0.880127,-0.053955,-0.483765,tilt forward
tilt_forward_57,680,0.933960,-0.065796,-0.465942,tilt forward
tilt_forward_57,700,0.889404,-0.062378,-0.411865,tilt forward
tilt_forward_57,720,0.870605,-0.065918,-0.414551,tilt forward
tilt_forward_57,740,0.840088,-0.067017,-0.479248,tilt forward
tilt_forward_57,760,0.850098,-0.076538,-0.426025,tilt forward
tilt_forward_57,780,0.883545,-0.069824,-0.418579,tilt forward
tilt_forward_57,800,0.898315,-0.069092,-0.448120,tilt forward
tilt_forward_57,820,0.907593,-0.059204,-0.451050,tilt forward
tilt_forward_57,840,0.865723,-0.058105,-0.452148,tilt forward
tilt_forward_57,860,0.875122,-0.070190,-0.443481,tilt forward
tilt_forward_57,880,0.893555,-0.070190,-0.430420,tilt forward
tilt_forward_57,900,0.891479,-0.058228,-0.435425,tilt forward
tilt_forward_57,920,0.890625,-0.076416,-0.486206,tilt forward
tilt_forward_57,940,0.891602,-0.081665,-0.464355,tilt forward
tilt_forward_57,960,0.897339,-0.067505,-0.459473,tilt forward
tilt_forward_57,980,0.870239,-0.066895,-0.464966,tilt forward
tilt_forward_58,0,-0.097290,0.027588,0.984985,tilt forward
